Cluster ID,Link Score,source file,category_name,name,short_description,long_description
53,,0,AWS Cost Management,AWS Cost Explorer,Analyze Your AWS Cost and Usage,"Related Links
Get Started for Free
AWS Cost Explorer lets you dive deeper into your cost and usage data to identify trends, pinpoint cost drivers, and detect anomalies. "
54,,0,AWS Cost Management,AWS Budgets,Set Custom Cost and Usage Budgets,"Related Links
Get Started for Free
Set custom budgets that alert you when you exceed your budgeted thresholds."
55,,0,AWS Cost Management,Reserved Instance Reporting,Dive Deeper into Your Reserved Instances (RIs),"Related Links
Get Started for Free
AWS provides a number of RI-specific cost management solutions out-of-the-box to help you better understand and manage your RIs. Using the RI Utilization and Coverage reports available in AWS Cost Explorer, you can visualize your RI data at an aggregate level or inspect a particular RI subscription. To access the most detailed RI information available, you can leverage the AWS Cost & Usage Report. You can also set a custom RI utilization target via AWS Budgets and receive alerts when your utilization drops below the threshold you define. "
56,,0,AWS Cost Management,AWS Cost and Usage Report,Access Comprehensive Cost and Usage Information,"Related Links
Get Started for Free
The AWS Cost & Usage Report is a single location for accessing comprehensive information about your AWS costs and usage."
5,0.97818154,0,Blockchain,Amazon Managed Blockchain,Create and manage scalable blockchain networks,"AWS provides the simplest way to build scalable blockchain networks and ledger applications for your business
Blockchain technologies are often used to solve two types of customer needs. In the first case, multiple parties work with a centralized, trusted authority to maintain a complete and verifiable record of transactions. An example is a retail customer looking to connect its suppliers with a centralized ledger that maintains a transparent and verifiable history of information related to the movement of a product through its supply chain. In the other case, multiple parties transact in a decentralized manner without the need for a centralized, trusted authority. An example is a consortium of banks and export houses looking to perform cross-boundary transfer of assets (e.g. letter-of-credits) amongst each other, without a centralized authority acting as a liaison.
If you need a centralized ledger that records all application data changes, and maintains an immutable record of these changes, AWS provides a ledger database. This database is high-performance, immutable, and cryptographically verifiable, eliminating the need for building complex audit tables or setting up blockchain networks. If you need the immutable and verifiable capability provided by a ledger, and also want to allow multiple parties to transact without a trusted central authority, AWS provides a fully managed, scalable blockchain service. AWS’ blockchain service makes it easy to setup, deploy, and manage scalable blockchain networks, eliminating the need for you to rely on expensive consulting implementations."
57,,0,Blockchain,Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,"Amazon QLDB is a fully managed ledger database that provides a transparent, immutable, and cryptographically verifiable transaction log ‎owned by a central trusted authority. Amazon QLDB tracks each and every application data change and maintains a complete and verifiable history of changes over time.
Ledgers are typically used to record a history of economic and financial activity in an organization. Many organizations build applications with ledger-like functionality because they want to maintain an accurate history of their applications' data, for example, tracking the history of credits and debits in banking transactions, verifying the data lineage of an insurance claim, or tracing movement of an item in a supply chain network. Ledger applications are often implemented using custom audit tables or audit trails created in relational databases. However, building audit functionality with relational databases is time-consuming and prone to human error. It requires custom development, and since relational databases are not inherently immutable, any unintended changes to the data are hard to track and verify. Alternatively, blockchain frameworks, such as Hyperledger Fabric and Ethereum, can also be used as a ledger. However, this adds complexity as you need to set-up an entire blockchain network with multiple nodes, manage its infrastructure, and require the nodes to validate each transaction before it can be added to the ledger.
Amazon QLDB is a new class of database that eliminates the need to engage in the complex development effort of building your own ledger-like applications. With QLDB, your data’s change history is immutable – it cannot be altered or deleted – and using cryptography, you can easily verify that there have been no unintended modifications to your application’s data. QLDB uses an immutable transactional log, known as a journal, that tracks each application data change and maintains a complete and verifiable history of changes over time. QLDB is easy to use because it provides developers with a familiar SQL-like API, a flexible document data model, and full support for transactions. QLDB is also serverless, so it automatically scales to support the demands of your application. There are no servers to manage and no read or write limits to configure. With QLDB, you only pay for what you use."
58,,0,Business Applications,Alexa for Business,Empower your Organization with Alexa,"Alexa for Business is a service that enables organizations and employees to use Alexa to get more work done. With Alexa for Business, employees can use Alexa as their intelligent assistant to be more productive in meeting rooms, at their desks, and even with the Alexa devices they already have at home. 
Meeting rooms are often complicated and lead to inefficient meetings. From booking a meeting room to getting conferencing equipment to work, the experience can be frustrating for everyone. Alexa for Business simplifies meeting rooms for your employees, and works with your existing conference room equipment. You can use Alexa to book a room by saying “Alexa, is this room free?”, and “Alexa, book this room”. You can instantly start your meetings by saying “Alexa, join my meeting”. And you can use Alexa devices instead of speaker phones in small conference and huddle rooms. 
With Alexa for Business, you can invite your employees to be part of your Alexa for Business organization. Once enrolled, employees can use the Alexa enabled devices they already have at home to join meetings, schedule 1:1 meetings, and access corporate applications just by using their voice. Employees can also put Alexa devices at their desk in the office. Alexa for Business improves employee productivity by providing them a more intuitive way to access corporate applications and services."
59,,0,Business Applications,Amazon Chime,"Frustration-free Meetings, Video Calls, and Chat","Amazon Chime lets you meet, chat, and collaborate with the security of AWS. You can work seamlessly on your devices, and meet from your desk or on the go - ensuring you always stay connected. You can use Amazon Chime for online meetings, video conferencing, calls, chat, and to share content, both inside and outside of your organization. With pay as you go pricing, you only pay for features you use on the days you use them, so you don't have to worry about overspending.  
Amazon Chime runs on Amazon Web Services, where security is the highest priority so you can feel confident your communications are secure. All your communications are encrypted and you can restrict access to your meetings using host controls. In addition, Amazon Chime can be set up to adhere to your company’s login policies. 
Use one application to conduct online meetings, video conferences, chat, screen sharing, and file sharing, both inside and outside your organization without switching between applications to collaborate. Instantly go from a chat to a call, share your screen, and even invite more people with a simple click or tap, all in the same application.                                                                                                          "
60,,0,Business Applications,Amazon WorkDocs,Enterprise Storage and Sharing Service,"Amazon WorkDocs is a secure, fully managed, content creation, file collaboration and management service, with an extensible SDK, that runs on AWS. 
With Amazon WorkDocs, all your files are stored on one service. Users can create content, share files, provide rich feedback, and access their files on WorkDocs from any device. WorkDocs encrypts data in transit and at rest, and offers powerful management controls, active directory integration, and near real-time visibility into file and user actions. The WorkDocs SDK allows you to use the same AWS tools you are already familiar with to integrate WorkDocs with AWS products and services, your existing solutions, third-party applications, or build your own. You don’t have to worry about deploying updates, or patching software, and can scale users and storage up or down with a few clicks. WorkDocs offers low, pay-as-you-go pricing for users and storage, and no charge for API calls. There are no upfront commitments or long-term contracts.
Amazon WorkDocs helps protect your files against both internal and external threats, and maintain regulatory compliance.  "
61,,0,Business Applications,Amazon WorkMail,Secure and Managed Business Email and Calendaring,"Amazon WorkMail is a secure, managed business email and calendar service with support for existing desktop and mobile email client applications. Amazon WorkMail gives users the ability to seamlessly access their email, contacts, and calendars using the client application of their choice, including Microsoft Outlook, native iOS and Android email applications, any client application supporting the IMAP protocol, or directly through a web browser. You can integrate Amazon WorkMail with your existing corporate directory, use email journaling to meet compliance requirements, and control both the keys that encrypt your data and the location in which your data is stored. You can also set up interoperability with Microsoft Exchange Server, and programmatically manage users, groups, and resources using the Amazon WorkMail SDK.
Get started for free with a 30-day trial of Amazon WorkMail for up to 25 users. >>
Amazon WorkMail makes it easy to manage your corporate email infrastructure and eliminates the need for up-front investments to license and provision on-premises email servers. There is no complex software to install or maintain and no hardware to manage. Amazon WorkMail automatically handles all of the patches, back-ups, and upgrades.  "
26,0.21733248,0,Compute,Amazon EC2,Virtual Servers in the Cloud,"Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides secure, resizable compute capacity in the cloud. It is designed to make web-scale cloud computing easier for developers.
Amazon EC2’s simple web service interface allows you to obtain and configure capacity with minimal friction. It provides you with complete control of your computing resources and lets you run on Amazon’s proven computing environment. Amazon EC2 reduces the time required to obtain and boot new server instances to minutes, allowing you to quickly scale capacity, both up and down, as your computing requirements change. Amazon EC2 changes the economics of computing by allowing you to pay only for capacity that you actually use. Amazon EC2 provides developers the tools to build failure resilient applications and isolate them from common failure scenarios. 
AWS Free Tier includes 750 hours of Linux and Windows t2.micro instances each month for one year. To stay within the Free Tier, use only EC2 Micro instances."
62,,0,Compute,Amazon EC2 Auto Scaling,Scale Compute Capacity to Meet Demand,"Amazon EC2 Auto Scaling helps you maintain application availability and allows you to automatically add or remove EC2 instances according to conditions you define. You can use the fleet management features of EC2 Auto Scaling to maintain the health and availability of your fleet. You can also use the dynamic and predictive scaling features of EC2 Auto Scaling to add or remove EC2 instances. Dynamic scaling responds to changing demand and predictive scaling automatically schedules the right number of EC2 instances based on predicted demand. Dynamic scaling and predictive scaling can be used together to scale faster. 
Automatically scale across purchase options in a single ASG. Read the Blog »
Proactively respond to changing traffic with Predictive Scaling. Read the Blog>>"
2,0.99807894,0,Compute,Amazon Elastic Container Service,Run and Manage Docker Containers,"Amazon Elastic Container Service (Amazon ECS) is a highly scalable, high-performance container orchestration service that supports Docker containers and allows you to easily run and scale containerized applications on AWS. Amazon ECS eliminates the need for you to install and operate your own container orchestration software, manage and scale a cluster of virtual machines, or schedule containers on those virtual machines.
With simple API calls, you can launch and stop Docker-enabled applications, query the complete state of your application, and access many familiar features such as IAM roles, security groups, load balancers, Amazon CloudWatch Events, AWS CloudFormation templates, and AWS CloudTrail logs. 
Amazon ECS features AWS Fargate, so you can deploy and manage containers without having to provision or manage servers. With Fargate, you no longer have to select Amazon EC2 instance types, provision, and scale clusters of virtual machines to run containers or schedule containers to run on clusters and maintain their availability. Fargate enables you to focus on building and running applications, not the underlying infrastructure."
63,,0,Compute,Amazon Elastic Container Service for Kubernetes,Run Managed Kubernetes on AWS,"Amazon Elastic Container Service for Kubernetes (Amazon EKS) makes it easy to deploy, manage, and scale containerized applications using Kubernetes on AWS.
Amazon EKS runs the Kubernetes management infrastructure for you across multiple AWS availability zones to eliminate a single point of failure. Amazon EKS is certified Kubernetes conformant so you can use existing tooling and plugins from partners and the Kubernetes community. Applications running on any standard Kubernetes environment are fully compatible and can be easily migrated to Amazon EKS.
Amazon EKS is generally available for all AWS customers. "
1,0.9996022,0,Compute,Amazon Elastic Container Registry,Store and Retrieve Docker Images,"Amazon Elastic Container Registry (ECR) is a fully-managed Docker container registry that makes it easy for developers to store, manage, and deploy Docker container images. Amazon ECR is integrated with Amazon Elastic Container Service (ECS), simplifying your development to production workflow. Amazon ECR eliminates the need to operate your own container repositories or worry about scaling the underlying infrastructure. Amazon ECR hosts your images in a highly available and scalable architecture, allowing you to reliably deploy containers for your applications. Integration with AWS Identity and Access Management (IAM) provides resource-level control of each repository. With Amazon ECR, there are no upfront fees or commitments. You pay only for the amount of data you store in your repositories and data transferred to the Internet. 
Amazon Elastic Container Registry integrates with Amazon ECS and the Docker CLI, allowing you to simplify your development and production workflows. You can easily push your container images to Amazon ECR using the Docker CLI from your development machine, and Amazon ECS can pull them directly for production deployments.
Learn more about Amazon ECR"
64,,0,Compute,Amazon Lightsail,Launch and Manage Virtual Private Servers,"Everything you need to jumpstart your project on AWS — compute, storage, and networking — for a low, predictable price.
 
Keeping servers simple"
7,0.8159642,0,Compute,AWS Batch,Run Batch Jobs at Any Scale,"AWS Batch enables developers, scientists, and engineers to easily and efficiently run hundreds of thousands of batch computing jobs on AWS. AWS Batch dynamically provisions the optimal quantity and type of compute resources (e.g., CPU or memory optimized instances) based on the volume and specific resource requirements of the batch jobs submitted. With AWS Batch, there is no need to install and manage batch computing software or server clusters that you use to run your jobs, allowing you to focus on analyzing results and solving problems. AWS Batch plans, schedules, and executes your batch computing workloads across the full range of AWS compute services and features, such as Amazon EC2 and Spot Instances.
There is no additional charge for AWS Batch. You only pay for the AWS resources (e.g. EC2 instances) you create to store and run your batch jobs. 
AWS Batch eliminates the need to operate third-party commercial or open source batch processing solutions. There is no batch software or servers to install or manage. AWS Batch manages all the infrastructure for you, avoiding the complexities of provisioning, managing, monitoring, and scaling your batch computing jobs.  "
65,,0,Compute,AWS Elastic Beanstalk,Run and Manage Web Apps," AWS Elastic Beanstalk is an easy-to-use service for deploying and scaling web applications and services developed with Java, .NET, PHP, Node.js, Python, Ruby, Go, and Docker on familiar servers such as Apache, Nginx, Passenger, and IIS.
 You can simply upload your code and Elastic Beanstalk automatically handles the deployment, from capacity provisioning, load balancing, auto-scaling to application health monitoring. At the same time, you retain full control over the AWS resources powering your application and can access the underlying resources at any time.
 There is no additional charge for Elastic Beanstalk - you pay only for the AWS resources needed to store and run your applications."
66,,0,Compute,AWS Fargate,Run Containers without Managing Servers or Clusters,"AWS Fargate is a compute engine for Amazon ECS that allows you to run containers without having to manage servers or clusters. With AWS Fargate, you no longer have to provision, configure, and scale clusters of virtual machines to run containers. This removes the need to choose server types, decide when to scale your clusters, or optimize cluster packing. AWS Fargate removes the need for you to interact with or think about servers or clusters. Fargate lets you focus on designing and building your applications instead of managing the infrastructure that runs them.
Amazon ECS has two modes: Fargate launch type and EC2 launch type. With Fargate launch type, all you have to do is package your application in containers, specify the CPU and memory requirements, define networking and IAM policies, and launch the application. EC2 launch type allows you to have server-level, more granular control over the infrastructure that runs your container applications. With EC2 launch type, you can use Amazon ECS to manage a cluster of servers and schedule placement of containers on the servers. Amazon ECS keeps track of all the CPU, memory and other resources in your cluster, and also finds the best server for a container to run on based on your specified resource requirements. You are responsible for provisioning, patching, and scaling clusters of servers. You can decide which type of server to use, which applications and how many containers to run in a cluster to optimize utilization, and when you should add or remove servers from a cluster. EC2 launch type gives you more control of your server clusters and provides a broader range of customization options, which might be required to support some specific applications or possible compliance and government requirements.
Join Jess Frazelle, from GitHub, and Clare Liguori and Abby Fuller, from AWS, for a container power hour. In this session, learn how to use Git and GitHub to run your containers, and build, test, and deploy processes. GitOps and Actions and AWS Fargate. "
67,,0,Compute,AWS Lambda,Run your Code in Response to Events,"AWS Lambda lets you run code without provisioning or managing servers. You pay only for the compute time you consume - there is no charge when your code is not running. 
With Lambda, you can run code for virtually any type of application or backend service - all with zero administration. Just upload your code and Lambda takes care of everything required to run and scale your code with high availability. You can set up your code to automatically trigger from other AWS services or call it directly from any web or mobile app. 
AWS Lambda automatically runs your code without requiring you to provision or manage servers. Just write the code and upload it to Lambda."
